periódicos, scielo_url, publicador, status
"Acta Theologica", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1015-8758&lng=en", "University of the Free State", "current"
"Acta toxicológica argentina", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3743&lng=en", "Asociación Toxicológica Argentina", "current"
"Acta universitaria", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0188-6266&lng=en", "Universidad de Guanajuato, Dirección de Investigación y Posgrado", "suspended"
"Acta zoológica mexicana", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0065-1737&lng=en", "Instituto de Ecología A.C.", "current"
"Actas Odontológicas", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=2393-6304&lng=en", "Facultad de Odontología - Universidad Católica del Uruguay.", "deceased"
"Actas Urológicas Españolas", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0210-4806&lng=en", "Asociación Española de Urología", "suspended"
"Actualidades Biológicas", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0304-3584&lng=en", "Instituto de Biología, Universidad de Antioquia", "current"
"Actualidades en Psicología", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=2215-3535&lng=en", "Instituto de Investigaciones Psicológicas, Universidad de Costa Rica", "current"
"Actualidades Investigativas en Educación", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1409-4703&lng=en", "Instituto de Investigación en Educación, Universidad de Costa Rica", "current"
"AD-minister", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1692-0279&lng=en", "Escuela de Administración de la Universidad EAFIT", "current"
"Adolescencia y Salud", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1409-4185&lng=en", "Caja Costarricense de Seguro Social. Programa Atención Integral del Adolescente", "deceased"
"African Human Rights Law Journal", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1996-2096&lng=en", "Centre of Human Rights, Faculty of Law, University of Pretoria", "current"
"African Journal of Disability (Online)", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2226-7220&lng=en", "AOSIS (Pty) Ltd", "current"
"African Journal of Information and Communication", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2077-7213&lng=en", "LINK Centre, School of Literature Language and Media (SLLM), Faculty of Humanities, University of the Witwatersrand", "current"
"African Journal of Laboratory Medicine", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2225-2010&lng=en", "African Society for Laboratory Medicine (Ethiopia)", "current"
"African Journal of Primary Health Care & Family Medicine", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2071-2936&lng=en", "AOSIS Publishing", "current"
"African Natural History", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2305-7963&lng=en", "Iziko Museum of South Africa", "deceased"
"Afro-Ásia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0002-0591&lng=en", "Universidade Federal da Bahia", "suspended"
